id_barang_pemda;kode_barang;nama_barang;no_regristrasi;kode_pemilik;id_ruang_asal;nama_ruang_asal;bidang_ruang_asal;tempat_ruang_asal;id_ruang_sekarang;nama_ruang_sekarang;bidang_ruang_sekarang;tempat_ruang_sekarang;tgl_pembelian;tgl_pembukuan;merk;type;kategori;ukuran_CC;no_pabrik;no_rangka;no_bpkb;bahan;no_mesin;no_polisi;kondisi_barang;masa_manfaat;harga_awal;harga_total;keterangan;foto_barang
21010010012000196;1.3.2.10.001.001.004;Internet;3;12;belum06;;Alun Alun Brebes;Alun Alun Brebes;belum06;;Alun Alun Brebes;Alun Alun Brebes;2017-01-30;2017-01-30;;;;;;;;;;;Baik;;6762500;0.00;;
21010010012000613;1.3.2.06.001.002.012;Video Monitor;1;12;belum06;;Alun Alun Brebes;Alun Alun Brebes;belum06;;Alun Alun Brebes;Alun Alun Brebes;2018-12-28;2018-12-28;;;;;;;;;;;Baik;;290950000;0.00;;
21010010012000614;1.3.2.06.001.002.012;Video Monitor;2;12;belum06;;Alun Alun Brebes;Alun Alun Brebes;belum06;;Alun Alun Brebes;Alun Alun Brebes;2018-12-28;2018-12-28;;;;;;;;;;;Baik;;290950000;0.00;;
21010010012000672;1.3.2.05.002.004.004;AC. Split;13;12;belum06;;Alun Alun Brebes;Alun Alun Brebes;belum06;;Alun Alun Brebes;Alun Alun Brebes;2020-04-09;2020-04-09;;;;;;;;;;;baik;;4555000;0.00;;
21010010012000038;1.3.2.05.001.004.001;Lemari Besi/Metal;5;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2008-01-30;2008-01-30;;;;;;;;;;;Baik;;2350000;0.00;;
21010010012000043;1.3.2.05.001.004.005;Filing Cabinet Besi;1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2008-01-30;2008-01-30;;;;;;;;;;;Baik;;3263000;0.00;;
21010010012000077;1.3.2.05.002.001.003;Kursi Besi/Metal;5;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2008-01-30;2008-01-30;;;;;;;;;;;Baik;;100000;0.00;;
21010010012000456;1.3.2.06.001.002.061;Lensa Kamera;1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2009-01-30;2009-01-30;;;;;;;;;;;Baik;;5100000;0.00;;
21010010012000005;1.3.2.02.001.001.003;Station Wagon;2;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2010-01-30;2010-01-30;;;;;;;;;;;Baik;;141400000;0.00;;
21010010012000059;1.3.2.05.001.005.023;Overhead Projector;1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2010-01-30;2010-01-30;;;;;;;;;;;Baik;;19200000;0.00;;
21010010012000136;1.3.2.05.002.006.004;Tape Recorder ( Alat Rumah Tangga Lainnya (home ));1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2010-01-30;2010-01-30;;;;;;;;;;;Baik;;3600000;0.00;;
`21010010012000138;1.3.2.05.002.006.004;Tape Recorder ( Alat Rumah Tangga Lainnya (home ));3;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2010-01-30;2010-01-30;;;;;;;;;;;Baik;;400000;0.00;;
21010010012000176;1.3.2.05.002.006.020;Stabilisator;1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2010-01-30;2010-01-30;;;;;;;;;;;Baik;;600000;0.00;;
21010010012000177;1.3.2.05.002.006.020;Stabilisator;2;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2010-01-30;2010-01-30;;;;;;;;;;;Baik;;600000;0.00;;
21010010012000178;1.3.2.05.002.006.020;Stabilisator;3;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2010-01-30;2010-01-30;;;;;;;;;;;Baik;;1940000;0.00;;
21010010012000383;1.3.2.05.003.003.005;Kursi Kerja Pejabat Eselon III;1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2010-01-30;2010-01-30;;;;;;;;;;;Baik;;1475000;0.00;;
21010010012000241;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);24;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2010-01-30;2010-01-30;;;;;;;;;;;Rusak Berat;;2040000;0.00;;
`21010010012000044;1.3.2.05.001.004.005;Filing Cabinet Besi;2;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;1980000;0.00;;
`21010010012000200;1.3.2.10.001.002.001;P.C Unit;2;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;8800000;0.00;;
`21010010012000201;1.3.2.10.001.002.001;P.C Unit;3;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;8800000;0.00;;
`21010010012000202;1.3.2.10.001.002.001;P.C Unit;4;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;5450000;0.00;;
`21010010012000237;1.3.2.10.001.002.003;Note Book;2;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;13350000;0.00;;
`21010010012000238;1.3.2.10.001.002.003;Note Book;3;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;13350000;0.00;;
`21010010012000322;1.3.2.10.002.003.011;DVD Writer;1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;510000;0.00;;
`21010010012000323;1.3.2.10.002.003.011;DVD Writer;2;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;510000;0.00;;
`21010010012000324;1.3.2.10.002.003.011;DVD Writer;3;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;510000;0.00;;
`21010010012000338;1.3.2.10.002.003.018;Peralatan Personal Komputer lainnya;17;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2011-01-30;2011-01-30;;;;;;;;;;;Baik;;2340000;0.00;;
`21010010012000061;1.3.2.05.001.005.023;Overhead Projector;3;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;17600000;0.00;;
`21010010012000167;1.3.2.05.002.006.018;Unit Power Supply;5;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;7100000;0.00;;
`21010010012000398;1.3.2.06.001.001.005;Audio Amplifier;1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;16000000;0.00;;
`21010010012000204;1.3.2.10.001.002.001;P.C Unit;6;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;9923000;0.00;;
`21010010012000229;1.3.2.10.001.002.002;Laptop;3;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;7500000;0.00;;
`21010010012000255;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);1;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;3349500;0.00;;
21010010012000256;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);2;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;3349500;0.00;;
21010010012000257;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);3;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;7150000;0.00;;
21010010012000258;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);4;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000259;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);5;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000260;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);6;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000261;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);7;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000262;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);8;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000263;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);9;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000264;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);10;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000265;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);11;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000266;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);12;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000267;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);13;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000268;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);14;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000269;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);15;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000270;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);16;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000271;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);17;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000272;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);18;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000273;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);19;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000274;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);20;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000275;1.3.2.10.002.001.018;Peralatan mainframe lainnya(dst);21;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;445000;0.00;;
21010010012000336;1.3.2.10.002.003.018;Peralatan Personal Komputer lainnya;15;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2012-01-30;2012-01-30;;;;;;;;;;;Baik;;760000;0.00;;
21010010012000062;1.3.2.05.001.005.023;Overhead Projector;4;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;5700000;0.00;;
21010010012000085;1.3.2.05.002.001.003;Kursi Besi/Metal;13;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;350000;0.00;;
21010010012000086;1.3.2.05.002.001.003;Kursi Besi/Metal;14;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;350000;0.00;;
21010010012000087;1.3.2.05.002.001.003;Kursi Besi/Metal;15;12;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;13;12.11.09.21.01.01.01;Bidang Informatika Dan Statistik;Dinkominfotik Kab. Brebes;2013-01-30;2013-01-30;;;;;;;;;;;Baik;;350000;0.00;;
